ciclo,ccaa,prov,nvivi,nivel,npers,edad5,relpp1,sexo1,ncony,npadre,nmadre,rellmili,eciv1,prona1,regna1,nac1,exregna1,anore1,nforma2,rellb,edadest,cursr,ncursr2,cursnr,ncurnr2,hcurnr,rellb,trarem,ayudfa,ausent,rznotb,vincul,nuevem,ocup1,act11,situ,sp,ducon1,ducon2,ducon3,tcontm,tcontd,dren,dcom,proest,regest,parco1,parco2,horasp,horash,horase,extra,extpag,extnpg,rzdifh,traplu,ocuplu1,actplu11,sitplu,horplu,mashor,dismas,rzndish,hordes,busotr,busca,desea,fobact,nbusca,asala,embus,itbu,disp,rzndis,empant,dtant,ocupa,acta1,situa,ofemp,sidi1,sidi2,sidi3,sidac1,sidac2,mun1,prore1,repaire1,traant,aoi,cse,factorel,factorel
178,1,18,20678,1,3,16,3,6,0,2,1,,1,18,,1,,,P2,,14,1,SP,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,6,1,6,,,,,3,1,,,,,1,,,6,9,,16578,
178,1,18,20678,2,4,10,3,1,0,2,1,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,26685,
178,1,18,20679,1,1,65,1,6,0,0,0,,3,41,,1,,,P2,,14,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,5,,,,1,,,6,9,,22004,
178,1,18,20680,1,1,65,1,1,0,0,0,,3,18,,1,,,S1,,15,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,29,,,,3,2,3,,,,1,,,6,9,,22130,
178,1,18,20680,1,2,35,3,6,0,1,0,,1,18,,1,,,S1,,16,3,,3,,,,6,6,1,4,1,,5,9,8,,6,,1,9,,5,5,18,,6,5,1500,1500,0,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,14,22130,
178,1,18,20680,1,3,35,3,1,0,1,0,,1,18,,1,,,S1,,15,3,,3,,,,1,,,,,,5,7,8,,1,1,,,,48,168,18,,1,,4000,4000,4000,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,,,,1,1,1,,,1,4,14,22130,
178,1,18,20681,1,1,55,1,6,0,3,0,,4,18,,1,,,SU,,23,3,,3,,,,1,,,,,,2,8,7,3,1,1,,,,129,245,18,,1,,3700,3700,3700,6,,,,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,3,,,1,1,1,,,1,4,11,19569,
178,1,18,20681,1,2,25,3,1,0,0,1,,1,4,,1,,,SG,,25,1,SU,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,6,1,6,,,,,3,1,,,,,1,,,6,9,,19569,
178,1,18,20681,1,3,65,6,1,0,0,0,,3,18,,1,,,SU,,22,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,352,,,,,2,,,,,1,,,6,9,,19569,
178,1,18,20681,1,4,20,3,6,0,0,1,,1,18,,1,,,SG,,18,3,,3,,,,1,,,,,,5,5,8,,6,,7,,15,0,0,,115,6,5,400,400,400,6,,,,6,,,,,1,1,,40,1,,,1,,1,1,2,1,,,,,,,3,,,,2,2,1,,,6,3,14,19569,
